#scaleF=1.05        model=1
#minN   iou         precision   recall
2       0.04182352 0.04242467 0.84159689
3       0.04671125 0.04763374 0.8156385
4       0.051164   0.05240308 0.78499055
5       0.05499876 0.05660705 0.75045688
6       0.05782435 0.06001237 0.70941277
7       0.06098915 0.06366846 0.68932601
8       0.06371706 0.06675495 0.66681118
