#minNeighbors=5 model=2
#scaleF iou         precision   recall
1.01    0.09795848 0.10676983 0.68805251
1.03    0.1722094  0.19851482 0.54619303
1.05    0.2319964  0.28107122 0.44344409
1.08    0.22971278 0.27627727 0.37918812
1.1     0.20358342 0.2442761  0.31030944
1.2     0.15899268 0.19100755 0.20964406
1.3     0.08509423 0.10130734 0.10561791
