#scaleF=1.05        model=1
#minN   iou         precision   recall
2       0.16187761 0.18503381 0.57192654
3       0.18422263 0.21107213 0.52758348
4       0.21058928 0.25094037 0.46534392
5       0.2319964  0.28107122 0.44344409
6       0.22363315 0.26530473 0.41194104
7       0.21648211 0.25680057 0.37973852
8       0.21230672 0.25408848 0.3610078
